mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment_name
0.43510026931762696,0.23046449173519623,0.005581092834472656,0.0004446227522579185,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.675644938244889,0.6089138724324914,0.5206921139129632,0.6351840034018602,0.6156876702161016,0.611224519641661,0.05088304724693933,667,grid search
0.3210739612579346,0.009528050526559874,0.005508852005004883,0.0002716464494728229,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.6585944416920032,0.6185087884138245,0.5322985623152902,0.6387235254539565,0.609546064412336,0.6115342764574822,0.043092481044102106,649,grid search
0.3209266185760498,0.006308384377959237,0.005618667602539063,0.0002655223347434574,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.6594046682807239,0.6160730429669414,0.5246086514974568,0.6190570232108485,0.6069164082420326,0.6052119588396006,0.044150417924845795,721,grid search
0.31984338760375974,0.006838978013776671,0.005658245086669922,0.0006514021893034405,0.25,0.625,0.25,2,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.625}",0.6827456529739657,0.6132955839492631,0.5147586573773006,0.6334107616236692,0.6311669302105464,0.615075517226949,0.05521051088965365,532,grid search
0.32020263671875,0.007781199845708533,0.005364084243774414,8.974090519404735e-05,0.25,0.625,0.25,2,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.75}",0.6623792723991402,0.6229156211327005,0.5297590276044377,0.6356378886437641,0.6201698667443908,0.6141723353048867,0.04477209110934819,559,grid search
0.3188326358795166,0.009062303917173666,0.005568695068359375,0.0003906435387000862,0.25,0.625,0.25,2,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.875}",0.6630911285071434,0.6146323391552748,0.5271546886198479,0.6198145865107749,0.6042906374855679,0.6057966760557217,0.04414534036040912,712,grid search
0.3203109264373779,0.009500045161484696,0.0053789615631103516,0.0002535631973365021,0.25,0.625,0.25,2,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.625}",0.678892137169367,0.6140127581392778,0.5160286244452801,0.6327396037655915,0.6256412118297898,0.6134628670698612,0.053468921927594996,604,grid search
0.32015233039855956,0.007143024054005698,0.005488777160644531,0.0005173562659341216,0.25,0.625,0.25,2,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.75}",0.662427364187441,0.620782222449829,0.5256488739499073,0.6415073635632919,0.6233207637306748,0.6147373175762287,0.046984982959465814,550,grid search
0.32128520011901857,0.008435439529506476,0.005454492568969726,0.00023684254443985016,0.25,0.625,0.25,2,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.875}",0.6625982835892411,0.6242180532933228,0.5158150678959099,0.6248252879311682,0.613279443303119,0.6081472272025522,0.049097686273109974,703,grid search
0.4524118423461914,0.011786250672509664,0.005565929412841797,0.00017108810917790824,0.25,0.625,0.25,5,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.625}",0.7032748247501863,0.632845741267983,0.5934997859533546,0.6159288226125097,0.6673630549165717,0.642582445900121,0.038760727528278804,289,grid search
0.44952049255371096,0.008839299019829258,0.005784940719604492,0.0006068690120800473,0.25,0.625,0.25,5,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.75}",0.705672842727913,0.6408268045061754,0.5981491659060383,0.6397545292515114,0.6660274077398101,0.6500861500262896,0.035309863465597,127,grid search
0.45488553047180175,0.012311874830509061,0.005705595016479492,0.00041628689556038223,0.25,0.625,0.25,5,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.875}",0.7083825193200595,0.6476005884846885,0.5785203506243746,0.6433223727810783,0.6471583177822935,0.6449968297984989,0.0411123419800299,226,grid search
0.43604331016540526,0.009715684677409723,0.005512666702270508,0.00010458903226940545,0.25,0.625,0.25,5,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.625}",0.7216194900472843,0.6486857545023088,0.5719370486323038,0.6519909195318909,0.651013362971472,0.649049315137052,0.04738222162087335,172,grid search
0.44042305946350097,0.01106743812283686,0.005562591552734375,0.00012193066462070044,0.25,0.625,0.25,5,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.75}",0.7045080732817877,0.652617834108346,0.5992615630907054,0.677302911920292,0.6622399103234194,0.6591860585449101,0.03471517862379513,1,grid search
0.4426719188690186,0.008464511223810351,0.0055277347564697266,0.0001987319756654012,0.25,0.625,0.25,5,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.875}",0.7075348983381715,0.6586857956809757,0.5804577079687642,0.6592114763636687,0.6571392718952491,0.6526058300493659,0.040801241900498345,100,grid search
0.421068000793457,0.01026974157094665,0.005369806289672851,7.269766798335244e-05,0.25,0.625,0.25,5,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.625}",0.7257515423269221,0.6411596837331692,0.5849654798856769,0.6658329929715601,0.6555824863802617,0.654658437059518,0.04520902300324832,91,grid search
0.42760133743286133,0.010650786824698484,0.005487203598022461,0.00016238969284612187,0.25,0.625,0.25,5,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.75}",0.7206216971320523,0.6497851442279479,0.5944305580441056,0.667091073723624,0.6598059351072079,0.6583468816469875,0.04028732343135408,19,grid search
0.4339747905731201,0.011131081776142727,0.005520915985107422,0.00012891922004633021,0.25,0.625,0.25,5,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.875}",0.7206152792019762,0.6520339775837581,0.588441708775023,0.6673479853145717,0.6569807877522928,0.6570839477255245,0.042139886937083045,28,grid search
0.9452253341674804,0.028786603479313996,0.006008434295654297,0.00014527041042450007,0.25,0.625,0.25,8,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.625}",0.6668047237650212,0.606952304048374,0.5787021635433258,0.612962678686231,0.6444869079822736,0.6219817556050451,0.030646146934918746,478,grid search
1.0048077583312989,0.02248594278934163,0.005988883972167969,9.437562673440605e-05,0.25,0.625,0.25,8,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.75}",0.6585217821232167,0.6334195709779291,0.6210226726097692,0.62645408763442,0.62127548758584,0.632138720186235,0.013939855949204683,433,grid search
1.0555184364318848,0.013243410845460886,0.006008434295654297,0.00011573717007683312,0.25,0.625,0.25,8,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.875}",0.6803708120639753,0.6265524514511556,0.6165060516901715,0.5887912307848027,0.6291547527857526,0.6282750597551715,0.02971595850317714,460,grid search
0.7645016193389893,0.02919635605463333,0.005775356292724609,7.72147344126934e-05,0.25,0.625,0.25,8,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.625}",0.6867945146228209,0.6276456603319103,0.5829998417445779,0.6531189078984649,0.6309542638526756,0.63630263769009,0.03399103703979861,397,grid search
0.7975648403167724,0.03459785273804049,0.005715084075927734,5.2435482171037704e-05,0.25,0.625,0.25,8,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.75}",0.6861646569219089,0.6354801440650809,0.6062622435888657,0.6505252855162256,0.6351693180255524,0.6427203296235267,0.0260267439810674,280,grid search
0.8353468418121338,0.029691526225917718,0.005749130249023437,5.6447047473797697e-05,0.25,0.625,0.25,8,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.875}",0.6835032667108788,0.6509281316503427,0.603687051907986,0.6348402638271045,0.6335840002148101,0.6413085428622244,0.026037722571394112,316,grid search
0.6852781295776367,0.024317146022584852,0.0058057308197021484,0.00020837882017694213,0.25,0.625,0.25,8,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.625}",0.6952424433068237,0.6287826378539798,0.5935792976928406,0.6648612542639694,0.6427695554255862,0.6450470377086399,0.03414916634819503,217,grid search
0.7184362888336182,0.02530925547056042,0.005762910842895508,0.00011968456890414627,0.25,0.625,0.25,8,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.75}",0.6846049804945551,0.6543171677306668,0.6014210327048191,0.6591370320392894,0.6378202401226751,0.6474600906184012,0.027479573805036104,190,grid search
0.7359201431274414,0.023948161368580124,0.0057696342468261715,0.00012069987132135684,0.25,0.625,0.25,8,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.875}",0.6996325953673658,0.667574821579537,0.5882388488354058,0.6635596606177047,0.6429479784865108,0.6523907809773049,0.03685573199575856,109,grid search
0.3179622173309326,0.007687655981273311,0.005287790298461914,0.00025897423350096854,0.25,0.625,0.5,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.675644938244889,0.6089138724324914,0.5206921139129632,0.6351840034018602,0.6156876702161016,0.611224519641661,0.05088304724693933,667,grid search
0.3147896766662598,0.008022840721595672,0.0051381587982177734,0.0001190931708323385,0.25,0.625,0.5,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.6585944416920032,0.6185087884138245,0.5322985623152902,0.6387235254539565,0.609546064412336,0.6115342764574822,0.043092481044102106,649,grid search
0.31536412239074707,0.00738557175903502,0.0055638313293457035,0.0007578054422126384,0.25,0.625,0.5,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.6594046682807239,0.6160730429669414,0.5246086514974568,0.6190570232108485,0.6069164082420326,0.6052119588396006,0.044150417924845795,721,grid search
0.3200706958770752,0.011035511238700045,0.005282735824584961,0.000233852610211416,0.25,0.625,0.5,2,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.625}",0.6827456529739657,0.6132955839492631,0.5147586573773006,0.6334107616236692,0.6311669302105464,0.615075517226949,0.05521051088965365,532,grid search
0.3155817985534668,0.010106871392803486,0.005226230621337891,0.0003290706605620688,0.25,0.625,0.5,2,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.75}",0.6623792723991402,0.6229156211327005,0.5297590276044377,0.6356378886437641,0.6201698667443908,0.6141723353048867,0.04477209110934819,559,grid search
0.3155583381652832,0.007677130927918034,0.005150365829467774,0.00023448252834509133,0.25,0.625,0.5,2,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.875}",0.6630911285071434,0.6146323391552748,0.5271546886198479,0.6198145865107749,0.6042906374855679,0.6057966760557217,0.04414534036040912,712,grid search
0.31482725143432616,0.007804206284595787,0.0050833702087402345,7.831509961977571e-05,0.25,0.625,0.5,2,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.625}",0.678892137169367,0.6140127581392778,0.5160286244452801,0.6327396037655915,0.6256412118297898,0.6134628670698612,0.053468921927594996,604,grid search
0.31479849815368655,0.008522641189694972,0.005220985412597657,8.332701711649793e-05,0.25,0.625,0.5,2,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.75}",0.662427364187441,0.620782222449829,0.5256488739499073,0.6415073635632919,0.6233207637306748,0.6147373175762287,0.046984982959465814,550,grid search
0.3162325382232666,0.009225997082412842,0.005201816558837891,0.0002065198742345719,0.25,0.625,0.5,2,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.875}",0.6625982835892411,0.6242180532933228,0.5158150678959099,0.6248252879311682,0.613279443303119,0.6081472272025522,0.049097686273109974,703,grid search
0.44611401557922364,0.008355344183515889,0.005351114273071289,8.035355550175357e-05,0.25,0.625,0.5,5,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.625}",0.7032748247501863,0.632845741267983,0.5934997859533546,0.6159288226125097,0.6673630549165717,0.642582445900121,0.038760727528278804,289,grid search
0.44587860107421873,0.009588168712179365,0.005309009552001953,1.6849025972186103e-05,0.25,0.625,0.5,5,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.75}",0.705672842727913,0.6408268045061754,0.5981491659060383,0.6397545292515114,0.6660274077398101,0.6500861500262896,0.035309863465597,127,grid search
0.4490963459014893,0.010830545485981984,0.005337858200073242,0.0001622277240608038,0.25,0.625,0.5,5,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.875}",0.7083825193200595,0.6476005884846885,0.5785203506243746,0.6433223727810783,0.6471583177822935,0.6449968297984989,0.0411123419800299,226,grid search
0.4316535949707031,0.009600154847289958,0.005346870422363282,5.2491216802829144e-05,0.25,0.625,0.5,5,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.625}",0.7216194900472843,0.6486857545023088,0.5719370486323038,0.6519909195318909,0.651013362971472,0.649049315137052,0.04738222162087335,172,grid search
0.4374882698059082,0.008193142329585951,0.0053937435150146484,0.00012349925905510203,0.25,0.625,0.5,5,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.75}",0.7045080732817877,0.652617834108346,0.5992615630907054,0.677302911920292,0.6622399103234194,0.6591860585449101,0.03471517862379513,1,grid search
0.4357606887817383,0.008602146157932065,0.005223321914672852,6.720163362497525e-05,0.25,0.625,0.5,5,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.875}",0.7075348983381715,0.6586857956809757,0.5804577079687642,0.6592114763636687,0.6571392718952491,0.6526058300493659,0.040801241900498345,100,grid search
0.417207670211792,0.009533721000797399,0.005356550216674805,0.0001512703789082121,0.25,0.625,0.5,5,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.625}",0.7257515423269221,0.6411596837331692,0.5849654798856769,0.6658329929715601,0.6555824863802617,0.654658437059518,0.04520902300324832,91,grid search
0.4254001140594482,0.012007765002196627,0.005349349975585937,0.00011008458894620758,0.25,0.625,0.5,5,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.75}",0.7206216971320523,0.6497851442279479,0.5944305580441056,0.667091073723624,0.6598059351072079,0.6583468816469875,0.04028732343135408,19,grid search
0.42812223434448243,0.013237100436769938,0.005336952209472656,0.00014242180032039567,0.25,0.625,0.5,5,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 5, 'min_child_weight': 8, 'subsample': 0.875}",0.7206152792019762,0.6520339775837581,0.588441708775023,0.6673479853145717,0.6569807877522928,0.6570839477255245,0.042139886937083045,28,grid search
0.9283800601959229,0.024879901359094663,0.006081199645996094,0.0002519839003281986,0.25,0.625,0.5,8,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.625}",0.6668047237650212,0.606952304048374,0.5787021635433258,0.612962678686231,0.6444869079822736,0.6219817556050451,0.030646146934918746,478,grid search
0.9865118503570557,0.02567851874411342,0.005939388275146484,0.00011909504184181822,0.25,0.625,0.5,8,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.75}",0.6585217821232167,0.6334195709779291,0.6210226726097692,0.62645408763442,0.62127548758584,0.632138720186235,0.013939855949204683,433,grid search
1.0376068115234376,0.01422003655502091,0.005963420867919922,9.382291837536374e-05,0.25,0.625,0.5,8,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 2, 'subsample': 0.875}",0.6803708120639753,0.6265524514511556,0.6165060516901715,0.5887912307848027,0.6291547527857526,0.6282750597551715,0.02971595850317714,460,grid search
0.7601779460906982,0.030318416287830094,0.005982398986816406,0.0004121138899211774,0.25,0.625,0.5,8,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.625}",0.6867945146228209,0.6276456603319103,0.5829998417445779,0.6531189078984649,0.6309542638526756,0.63630263769009,0.03399103703979861,397,grid search
0.7872719764709473,0.038781629127745486,0.005651235580444336,8.68142254770595e-05,0.25,0.625,0.5,8,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.75}",0.6861646569219089,0.6354801440650809,0.6062622435888657,0.6505252855162256,0.6351693180255524,0.6427203296235267,0.0260267439810674,280,grid search
0.8333224296569824,0.02705298458668503,0.005753517150878906,0.00011491518294752095,0.25,0.625,0.5,8,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 5, 'subsample': 0.875}",0.6835032667108788,0.6509281316503427,0.603687051907986,0.6348402638271045,0.6335840002148101,0.6413085428622244,0.026037722571394112,316,grid search
0.6808732986450196,0.026838495682453712,0.00570220947265625,0.0003769594648213649,0.25,0.625,0.5,8,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.625}",0.6952424433068237,0.6287826378539798,0.5935792976928406,0.6648612542639694,0.6427695554255862,0.6450470377086399,0.03414916634819503,217,grid search
0.7118833541870118,0.032553180973111724,0.00556793212890625,6.402710411374095e-05,0.25,0.625,0.5,8,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.75}",0.6846049804945551,0.6543171677306668,0.6014210327048191,0.6591370320392894,0.6378202401226751,0.6474600906184012,0.027479573805036104,190,grid search
0.7274948596954346,0.026115888384956775,0.005705022811889648,0.000152717222597402,0.25,0.625,0.5,8,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.5, 'max_depth': 8, 'min_child_weight': 8, 'subsample': 0.875}",0.6996325953673658,0.667574821579537,0.5882388488354058,0.6635596606177047,0.6429479784865108,0.6523907809773049,0.03685573199575856,109,grid search
0.3136460781097412,0.009644734661135324,0.0050067901611328125,0.00018309360952517228,0.25,0.625,0.75,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",0.675644938244889,0.6089138724324914,0.5206921139129632,0.6351840034018602,0.6156876702161016,0.611224519641661,0.05088304724693933,667,grid search
0.31270537376403806,0.007606045755707761,0.005147075653076172,0.00019388732443098553,0.25,0.625,0.75,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",0.6585944416920032,0.6185087884138245,0.5322985623152902,0.6387235254539565,0.609546064412336,0.6115342764574822,0.043092481044102106,649,grid search
0.3142425537109375,0.00716812014157251,0.0050429821014404295,0.00015583490647623255,0.25,0.625,0.75,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.75, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",0.6594046682807239,0.6160730429669414,0.5246086514974568,0.6190570232108485,0.6069164082420326,0.6052119588396006,0.044150417924845795,721,grid search
