experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.433839750289917,0.005515861511230469,0.6435097422869823,,,,5,1,,"{'max_depth': 5, 'min_child_weight': 1}",123,8,0.7074908753024457,0.6372849460935126,0.5928162718493919,0.6302800337628564,0.6496765844267052,0.01865883945511827,0.0003108596997782408,0.03718929024385677
random search for 1 group,0.4620229244232178,0.005548858642578125,0.657019070702337,,,,6,9,,"{'max_depth': 6, 'min_child_weight': 9}",4,8,0.7014836093509699,0.6518895694025653,0.5886814389823316,0.6807373029123847,0.6623034328634338,0.015506772871507424,0.0007922669917793766,0.03811539823362361
random search for 1 group,0.8110219478607178,0.005618667602539063,0.6305370093643334,,,,8,4,,"{'max_depth': 8, 'min_child_weight': 4}",205,8,0.68744834512186,0.6012508644863743,0.6173001317371654,0.5931430734746531,0.653542632001614,0.04854023526133732,0.00014360421079770061,0.035211811833774864
random search for 1 group,0.39594297409057616,0.005017662048339843,0.6543050686014386,,,,5,8,,"{'max_depth': 5, 'min_child_weight': 8}",13,8,0.7170969625380923,0.6495076609526427,0.5797372408377612,0.6524206909713823,0.6727627877073142,0.009658152898680621,9.63535112692491e-05,0.044430701717029425
random search for 1 group,0.9535512924194336,0.005704212188720703,0.6228384289470545,,,,8,2,,"{'max_depth': 8, 'min_child_weight': 2}",226,8,0.6445139820908323,0.6206593012809565,0.6104128396926273,0.5875407912687381,0.6510652304021182,0.039321984748704714,0.00014388946624436862,0.023115574904582884
random search for 1 group,1.2838938236236572,0.0058612823486328125,0.6103806375290979,,,,9,2,,"{'max_depth': 9, 'min_child_weight': 2}",234,8,0.658294157668392,0.5869169684175619,0.5928297414389128,0.5690922542798997,0.6447700658407236,0.04481735257030278,0.000145082123014447,0.03476103135643643
random search for 1 group,0.6388875007629394,0.005547523498535156,0.645074590906151,,,,7,4,,"{'max_depth': 7, 'min_child_weight': 4}",109,8,0.7014958114390037,0.6301407236889833,0.6171310030016468,0.6115389309508901,0.6650664854502313,0.02144509965989411,0.0002768790178642406,0.03379803236151498
random search for 1 group,0.6632088661193848,0.005360078811645508,0.6426244284021827,,,,7,3,,"{'max_depth': 7, 'min_child_weight': 3}",132,8,0.6962307872359513,0.6209190161988865,0.6088978482278247,0.644699081622415,0.6423754087258357,0.015039254525998602,0.00010565095306228166,0.02995535021785122
random search for 1 group,0.8044317722320556,0.005533790588378907,0.6339744175865637,,,,9,7,,"{'max_depth': 9, 'min_child_weight': 7}",181,8,0.67974759813655,0.6199409022501351,0.6038073678905376,0.6306376447973692,0.6357385748582267,0.056626548850587606,0.00017520262569191945,0.025363047140467162
random search for 1 group,0.3498046398162842,0.005018949508666992,0.6568717433459696,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",7,8,0.7084013480693749,0.6349473612078613,0.5663631191971372,0.6957378320128869,0.6789090562425879,0.01256014176203328,9.347759783367128e-05,0.0516217119986754
random search for 1 group,0.6228388786315918,0.005314970016479492,0.6477693412821905,,,,8,9,,"{'max_depth': 8, 'min_child_weight': 9}",76,8,0.6947733049794449,0.6398302665925226,0.5956417852751483,0.6501439241836199,0.6584574253802165,0.029924523062552423,9.030741883063002e-05,0.031967350190750844
random search for 1 group,0.9240156173706054,0.005804443359375,0.6283601687629187,,,,9,5,,"{'max_depth': 9, 'min_child_weight': 5}",218,8,0.6675066356595779,0.6193587218263101,0.60506741246331,0.6075205344885053,0.6423475393768898,0.05851674455849877,0.00010369071521116058,0.023604920278876885
random search for 1 group,0.4822215557098389,0.0051849365234375,0.651248567493622,,,,6,6,,"{'max_depth': 6, 'min_child_weight': 6}",31,8,0.7119416599535915,0.6495334789046434,0.6087412085856239,0.6330143998998825,0.653012090124369,0.011322514260675034,0.000233415339621169,0.034143999304303986
random search for 1 group,0.4185317516326904,0.005189371109008789,0.6475159499747634,,,,5,3,,"{'max_depth': 5, 'min_child_weight': 3}",84,8,0.7213059058477109,0.6298917951505261,0.5944498742897433,0.6384366489595725,0.6534955256262637,0.012101591839576728,8.377628555677903e-05,0.04168876549264796
random search for 1 group,0.31711654663085936,0.004906272888183594,0.6401440208749472,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",145,8,0.7012539311013478,0.6306592971390881,0.5448137822686638,0.6558332688847841,0.6681598249808514,0.009289507186194989,0.00011787088553232285,0.052807713996668705
random search for 1 group,0.5321204662322998,0.005234384536743164,0.6498074563259497,,,,7,9,,"{'max_depth': 7, 'min_child_weight': 9}",55,8,0.6956125619418921,0.6376360013020864,0.5948761115461465,0.6630127696148085,0.6578998372248146,0.023955796082348102,0.00010252482380666809,0.03317701488944539
random search for 1 group,0.9981984615325927,0.0056324005126953125,0.628941341671297,,,,9,4,,"{'max_depth': 9, 'min_child_weight': 4}",212,8,0.6768474288523698,0.6050411240723713,0.6024358420722264,0.612536119102078,0.6478461942574396,0.06965521768711345,0.00010737913318377601,0.02896646294638775
