experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
grid search,3.2699139595031737,0.01737208366394043,0.5936441705259661,0.25,0.625,0.25,2,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.625}",721,0.6595178582260872,0.600335460671514,0.48624791476429874,0.6258000846990206,0.5963195342689096,0.10155378678256084,0.0013891675365607901,0.058239560839883346
grid search,3.0022189617156982,0.01705617904663086,0.5951147983416727,0.25,0.625,0.25,2,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.75}",703,0.6599668122353393,0.6071331138953113,0.478364814347648,0.6268268421953043,0.6032824090347608,0.015242794947536185,0.0005259854806274404,0.06173029396856081
grid search,2.795682668685913,0.017627573013305663,0.5962192614340825,0.25,0.625,0.25,2,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 2, 'subsample': 0.875}",685,0.6654283281978559,0.602417306868416,0.48298764863665655,0.6323988629788913,0.5978641604885928,0.01243138401589857,0.0007037954373806503,0.06158145514205614
grid search,3.192053270339966,0.01664566993713379,0.5951697650806032,0.25,0.625,0.25,2,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.625}",694,0.6630585263152204,0.6079389562119701,0.48441787321658036,0.617602810916158,0.6028306587430866,0.02553616896406368,0.00045814341946579147,0.0593293325982156
grid search,3.007694149017334,0.016342020034790038,0.5978345982342066,0.25,0.625,0.25,2,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.75}",649,0.6657924088737441,0.6071300071894893,0.4899672469456454,0.6252998864115209,0.6009834417506337,0.010723864890980192,0.00047903537937730507,0.058488103745512075
grid search,2.8110177993774412,0.017337894439697264,0.5965331331907044,0.25,0.625,0.25,2,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 5, 'subsample': 0.875}",676,0.6770389603281993,0.595631502348536,0.4882092016485525,0.6248330596607587,0.5969529419674754,0.008890575058657682,0.0007186560644781079,0.06167193423857583
grid search,3.1727307796478272,0.01674513816833496,0.5966031835554816,0.25,0.625,0.25,2,8,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.625}",667,0.6623450340868325,0.5998092557400762,0.4809538179005084,0.6280068907397905,0.6119009193102001,0.017328430287156523,0.0005723468961188844,0.061526025600027213
grid search,2.9740795135498046,0.016429805755615236,0.5948345414808454,0.25,0.625,0.25,2,8,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.75}",712,0.663808058363611,0.6066906257055418,0.4729695570485767,0.6214609768936061,0.6092434893928915,0.012838490733391992,0.0007745743825264726,0.06428930243472754
grid search,2.7957244396209715,0.01725878715515137,0.5967346182172379,0.25,0.625,0.25,2,8,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 2, 'min_child_weight': 8, 'subsample': 0.875}",658,0.6743599414938131,0.6062471866785162,0.47636683903249455,0.6188167682833337,0.6078823555980326,0.009531565499737917,0.0003420564557725196,0.0651405794242624
grid search,6.314257192611694,0.03460536003112793,0.6334381650337366,0.25,0.625,0.25,5,2,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.625}",379,0.6947911118169596,0.6346491504569498,0.5888575806292087,0.6212873870234015,0.6276055952421634,0.064078822202739,0.001532177053703254,0.03445210979652621
grid search,5.833347654342651,0.03489365577697754,0.6378267646631012,0.25,0.625,0.25,5,2,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.75}",325,0.712345586710396,0.6479285151165504,0.5766560558494734,0.6201092585208066,0.6320944071182795,0.012002104492888657,0.001446964431581441,0.04414459370121265
grid search,5.404500246047974,0.036148691177368165,0.6519993214996126,0.25,0.625,0.25,5,2,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.875}",19,0.7168570784693828,0.6546539648012617,0.5990851703488436,0.6443951122812297,0.6450052815973454,0.03448427136017901,0.0004377491747618,0.0377365174710297
grid search,6.2017677307128904,0.033825111389160153,0.6435209948268035,0.25,0.625,0.25,5,5,0.625,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.625}",235,0.7039355176346938,0.6525850543444387,0.5648691111130422,0.650627881635325,0.6455874094065179,0.01828278065478388,0.0021549338227603667,0.04466087429079676
grid search,5.75050950050354,0.03471393585205078,0.6445046968811626,0.25,0.625,0.25,5,5,0.75,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.75}",181,0.713467020525355,0.6420726859992234,0.5823333499178189,0.6414754486091907,0.643174979354225,0.00897280779622256,0.0019552046385886692,0.04156425780972726
grid search,5.371654272079468,0.034345149993896484,0.6525216426788383,0.25,0.625,0.25,5,5,0.875,"{'alpha': 0.25, 'colsample_bytree': 0.625, 'lambda': 0.25, 'max_depth': 5, 'min_child_weight': 5, 'subsample': 0.875}",1,0.7119210474317254,0.6613411516186739,0.586399747667545,0.6460028561328376,0.6569434105434095,0.04416033565122375,0.0014500851693570254,0.04010043548866299
