experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,run_number,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,0.6350298404693604,0.005225610733032226,0.6505777932427157,,,,8,8,,"{'max_depth': 8, 'min_child_weight': 8}",57,10,0.6914030941887829,0.6439658528297041,0.6055514552346808,0.6546556747066724,0.6573128892537384,0.04125937667569139,0.0001622906984392425,0.02756731652986106
random search for 1 group,0.8002231597900391,0.005395030975341797,0.6305370093643334,,,,8,4,,"{'max_depth': 8, 'min_child_weight': 4}",209,10,0.68744834512186,0.6012508644863743,0.6173001317371654,0.5931430734746531,0.653542632001614,0.04146274543562907,6.312477567930968e-05,0.035211811833774864
random search for 1 group,0.9432888031005859,0.0058882713317871095,0.6228384289470545,,,,8,2,,"{'max_depth': 8, 'min_child_weight': 2}",227,10,0.6445139820908323,0.6206593012809565,0.6104128396926273,0.5875407912687381,0.6510652304021182,0.037575770037986886,0.0005437386973646094,0.023115574904582884
random search for 1 group,0.7107557773590087,0.005213308334350586,0.6323951360470051,,,,7,1,,"{'max_depth': 7, 'min_child_weight': 1}",196,10,0.6550269288219474,0.6362642699012022,0.6161907753337306,0.5978058174177585,0.6566878887603871,0.00893233579883344,0.00011145229869029684,0.022699375959460255
random search for 1 group,0.39295253753662107,0.004840707778930664,0.6535561668980392,,,,5,7,,"{'max_depth': 5, 'min_child_weight': 7}",26,10,0.7184080545715117,0.6324705232803323,0.5853317524092747,0.664825863758102,0.6667446404709756,0.012396728735034524,6.210785223260754e-05,0.04383123164233953
random search for 1 group,1.257234239578247,0.005632781982421875,0.6103806375290979,,,,9,2,,"{'max_depth': 9, 'min_child_weight': 2}",235,10,0.658294157668392,0.5869169684175619,0.5928297414389128,0.5690922542798997,0.6447700658407236,0.044277730987975064,6.50505508556564e-05,0.03476103135643643
random search for 1 group,0.34310159683227537,0.0048488140106201175,0.6568717433459696,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",7,10,0.7084013480693749,0.6349473612078613,0.5663631191971372,0.6957378320128869,0.6789090562425879,0.009542665713924117,0.00019768840479862537,0.0516217119986754
random search for 1 group,0.3127420425415039,0.004603862762451172,0.6445199774469427,,,,3,4,,"{'max_depth': 3, 'min_child_weight': 4}",121,10,0.7120550716578278,0.6345999166298066,0.5487146045077389,0.6699830714344861,0.657247223004854,0.0074794911888813684,5.830979553848882e-05,0.0541265516648134
random search for 1 group,0.3428978443145752,0.004752635955810547,0.6568717433459696,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",7,10,0.7084013480693749,0.6349473612078613,0.5663631191971372,0.6957378320128869,0.6789090562425879,0.01077222057623576,0.0001689168291133117,0.0516217119986754
random search for 1 group,0.31450390815734863,0.004735183715820312,0.6445201645166188,,,,3,2,,"{'max_depth': 3, 'min_child_weight': 2}",116,10,0.707219510655684,0.6270967807884528,0.5517166510962614,0.6693436014722424,0.6672242785704534,0.008461428790207434,0.00018627089260626843,0.052875238490671654
