experiment_name,mean_fit_time,mean_score_time,mean_test_score,param_alpha,param_colsample_bytree,param_gamma,param_lambda,param_max_depth,param_min_child_weight,param_subsample,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
random search for 1 group,7.825564956665039,0.03271450996398926,0.656581256679451,,,,,5,3,,"{'max_depth': 5, 'min_child_weight': 3}",7,0.7108415429482664,0.6673228820278481,0.6482635837782103,0.7177556443693118,0.5387226302736184,0.055940556206176294,0.0003636133810702054,0.06443866291457352
random search for 1 group,6.228082656860352,0.02610917091369629,0.6635918809218545,,,,,4,4,,"{'max_depth': 4, 'min_child_weight': 4}",1,0.7206934410631793,0.7010841447042762,0.6374803576759678,0.7179124487592674,0.5407890124065815,0.11398849707257062,0.00035475833431411463,0.06838031627022928
random search for 1 group,12.4900230884552,0.05784130096435547,0.6326794379172848,,,,,8,3,,"{'max_depth': 8, 'min_child_weight': 3}",25,0.686021774574328,0.6099887193891116,0.6433640337185857,0.6784842530776782,0.5455384088267203,0.22729781886592174,0.001484854503006834,0.05131485987048139
random search for 1 group,10.538017082214356,0.043513011932373044,0.6565431364797801,,,,,7,7,,"{'max_depth': 7, 'min_child_weight': 7}",9,0.7131693834639162,0.6886988930168237,0.6430470360930844,0.689600665620089,0.5481997042049872,0.17932710477959737,0.0017833861908798743,0.058743116705824834
random search for 1 group,4.854272890090942,0.0208254337310791,0.6486076638722682,,,,,3,7,,"{'max_depth': 3, 'min_child_weight': 7}",15,0.692249666537391,0.7188218666981945,0.6124755904333736,0.691477881032538,0.5280133146598436,0.07132309847261666,0.0006054973804322286,0.07003004781868062
random search for 1 group,4.867886590957641,0.02101411819458008,0.6488279267353527,,,,,3,2,,"{'max_depth': 3, 'min_child_weight': 2}",14,0.6989994973107423,0.7141161084633075,0.6183816827137573,0.7010998687042544,0.511542476484702,0.031670079993213744,0.0004299156942929014,0.07653281349864308
random search for 1 group,6.13955659866333,0.025656461715698242,0.656712366513414,,,,,4,9,,"{'max_depth': 4, 'min_child_weight': 9}",6,0.7218380784689195,0.7093469217850916,0.6136001751861261,0.7027019669260977,0.5360746902008352,0.07158431254115001,0.0004816248861521042,0.07146874575591246
random search for 1 group,12.05710973739624,0.04900374412536621,0.6508139711189818,,,,,8,7,,"{'max_depth': 8, 'min_child_weight': 7}",11,0.7077136047076447,0.6687256974259119,0.6459520083703634,0.6901548508764396,0.5415236942145487,0.13529974839903408,0.0024912630594072574,0.05843647212062999
random search for 1 group,13.811784315109254,0.06390414237976075,0.6438712002027788,,,,,9,5,,"{'max_depth': 9, 'min_child_weight': 5}",23,0.6949199593440291,0.6383407439776304,0.6561036243906472,0.688305915842957,0.5416857574586299,0.3268277438403979,0.004333011182309647,0.05514073380047248
random search for 1 group,13.49238657951355,0.05990467071533203,0.6446363979318835,,,,,9,6,,"{'max_depth': 9, 'min_child_weight': 6}",20,0.6992151126791477,0.6561989696894949,0.6548219643905021,0.6718357418071133,0.5411102010931597,0.1587328673572889,0.0018498059464083867,0.054173337856051065
random search for 1 group,6.265041446685791,0.027530479431152343,0.656933622198731,,,,,4,1,,"{'max_depth': 4, 'min_child_weight': 1}",5,0.6920358336184615,0.7120519845695825,0.6315985684976797,0.7145016442378465,0.5344800800700851,0.056381173473709606,0.0028655216626515515,0.06814838399314141
random search for 1 group,8.90132098197937,0.03736367225646973,0.6584176265269968,,,,,6,8,,"{'max_depth': 6, 'min_child_weight': 8}",3,0.7307993620890598,0.687128981906684,0.6343729411063801,0.6976879195321904,0.5420989280006692,0.10876363156745128,0.0009687483439605889,0.06589962064726015
random search for 1 group,4.812241649627685,0.020874977111816406,0.6448979945437161,,,,,3,9,,"{'max_depth': 3, 'min_child_weight': 9}",19,0.6908030892693391,0.7128855228913907,0.6143620334997237,0.6900639035159448,0.516375423542182,0.10909947993027275,0.0008561390016376863,0.07241551938584231
random search for 1 group,4.820767593383789,0.021441841125488283,0.6473831699957084,,,,,3,6,,"{'max_depth': 3, 'min_child_weight': 6}",17,0.6937222101049693,0.7052509510954491,0.6144794473720462,0.7022329068442983,0.5212303345617796,0.04465332954858134,0.0006601742967623649,0.07141662721037668
random search for 1 group,12.370736408233643,0.054279327392578125,0.6442456834335809,,,,,8,4,,"{'max_depth': 8, 'min_child_weight': 4}",22,0.697841547727847,0.6428623638624896,0.6416558383811043,0.7139165275165085,0.5249521396799557,0.3287039424492027,0.002356443935249122,0.06628139050503797
random search for 1 group,13.621811485290527,0.06033616065979004,0.6446363979318835,,,,,9,6,,"{'max_depth': 9, 'min_child_weight': 6}",20,0.6992151126791477,0.6561989696894949,0.6548219643905021,0.6718357418071133,0.5411102010931597,0.16502663054010697,0.002461441495247311,0.054173337856051065
random search for 1 group,11.803230047225952,0.04846282005310058,0.6489727308935633,,,,,8,9,,"{'max_depth': 8, 'min_child_weight': 9}",12,0.7195156854482327,0.6843606501349992,0.6311395908027505,0.685319127252084,0.5245286008297497,0.19025325801098308,0.001633457898641914,0.06834330426110394
random search for 1 group,13.844122695922852,0.06124987602233887,0.6438712002027788,,,,,9,5,,"{'max_depth': 9, 'min_child_weight': 5}",23,0.6949199593440291,0.6383407439776304,0.6561036243906472,0.688305915842957,0.5416857574586299,0.21020099583379692,0.002633325228370335,0.05514073380047248
random search for 1 group,4.790720891952515,0.020702600479125977,0.6488694151157945,,,,,3,1,,"{'max_depth': 3, 'min_child_weight': 1}",13,0.6923174782562467,0.714694825796284,0.6211223117435254,0.6931629853846443,0.5230494743982723,0.06957440253505436,0.000571076751868622,0.070403406844819
random search for 1 group,9.198934364318848,0.041194725036621097,0.6513227756696514,,,,,6,3,,"{'max_depth': 6, 'min_child_weight': 3}",10,0.7113092052643124,0.6162533894570799,0.6628604293805787,0.7157407672079561,0.55045008703833,0.05086225117337537,0.0007560583794303607,0.06210688848032175
random search for 1 group,6.0745530128479,0.028023242950439453,0.6565532179204631,,,,,4,7,,"{'max_depth': 4, 'min_child_weight': 7}",8,0.7081195291497238,0.6986510461761197,0.6254371706842434,0.7126907592735758,0.5378675843186523,0.03990495416584012,0.003785792148309962,0.0672862885971252
random search for 1 group,12.14871392250061,0.051230001449584964,0.6464697312006058,,,,,8,6,,"{'max_depth': 8, 'min_child_weight': 6}",18,0.7034690726525161,0.6524255757761808,0.6584842966083576,0.670412652802648,0.5475570581633262,0.21564350186071773,0.0015137487657426714,0.0525085272593287
random search for 1 group,4.841409206390381,0.02115492820739746,0.6486076638722682,,,,,3,7,,"{'max_depth': 3, 'min_child_weight': 7}",15,0.692249666537391,0.7188218666981945,0.6124755904333736,0.691477881032538,0.5280133146598436,0.0860310572531261,0.0008137879777098127,0.07003004781868062
random search for 1 group,12.974203968048096,0.06290793418884277,0.6103845618379744,,,,,8,1,,"{'max_depth': 8, 'min_child_weight': 1}",27,0.6560227477554483,0.544618232849625,0.6232829962913708,0.6833491314284867,0.5446497008649408,0.18335055746628356,0.002872652209185156,0.056954936601602967
