hour,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,target
1,1,4,12,2002,365,31,1,26498.0
2,1,4,12,2002,365,31,1,25147.0
3,1,4,12,2002,365,31,1,24574.0
4,1,4,12,2002,365,31,1,24393.0
5,1,4,12,2002,365,31,1,24860.0
6,1,4,12,2002,365,31,1,26222.0
7,1,4,12,2002,365,31,1,28702.0
8,1,4,12,2002,365,31,1,30698.0
9,1,4,12,2002,365,31,1,31800.0
10,1,4,12,2002,365,31,1,32359.0
11,1,4,12,2002,365,31,1,32371.0
12,1,4,12,2002,365,31,1,31902.0
13,1,4,12,2002,365,31,1,31126.0
14,1,4,12,2002,365,31,1,30368.0
15,1,4,12,2002,365,31,1,29564.0
16,1,4,12,2002,365,31,1,29098.0
17,1,4,12,2002,365,31,1,30308.0
18,1,4,12,2002,365,31,1,34017.0
19,1,4,12,2002,365,31,1,34195.0
20,1,4,12,2002,365,31,1,32790.0
21,1,4,12,2002,365,31,1,31336.0
22,1,4,12,2002,365,31,1,29887.0
23,1,4,12,2002,365,31,1,28483.0
0,2,1,1,2003,1,1,1,27008.0
1,0,4,12,2002,364,30,1,27526.0
2,0,4,12,2002,364,30,1,26600.0
3,0,4,12,2002,364,30,1,26241.0
4,0,4,12,2002,364,30,1,26213.0
5,0,4,12,2002,364,30,1,26871.0
6,0,4,12,2002,364,30,1,28679.0
7,0,4,12,2002,364,30,1,31509.0
8,0,4,12,2002,364,30,1,33665.0
9,0,4,12,2002,364,30,1,34625.0
10,0,4,12,2002,364,30,1,34655.0
11,0,4,12,2002,364,30,1,34295.0
12,0,4,12,2002,364,30,1,33711.0
13,0,4,12,2002,364,30,1,33087.0
14,0,4,12,2002,364,30,1,32668.0
15,0,4,12,2002,364,30,1,32380.0
16,0,4,12,2002,364,30,1,32484.0
17,0,4,12,2002,364,30,1,34076.0
18,0,4,12,2002,364,30,1,36979.0
19,0,4,12,2002,364,30,1,37106.0
20,0,4,12,2002,364,30,1,36492.0
21,0,4,12,2002,364,30,1,35468.0
22,0,4,12,2002,364,30,1,33944.0
23,0,4,12,2002,364,30,1,31619.0
0,1,4,12,2002,365,31,1,28765.0
1,6,4,12,2002,363,29,52,27084.0
2,6,4,12,2002,363,29,52,25836.0
3,6,4,12,2002,363,29,52,25320.0
4,6,4,12,2002,363,29,52,25146.0
5,6,4,12,2002,363,29,52,25142.0
6,6,4,12,2002,363,29,52,25741.0
7,6,4,12,2002,363,29,52,26546.0
8,6,4,12,2002,363,29,52,27483.0
9,6,4,12,2002,363,29,52,28513.0
10,6,4,12,2002,363,29,52,29220.0
11,6,4,12,2002,363,29,52,29345.0
12,6,4,12,2002,363,29,52,29189.0
13,6,4,12,2002,363,29,52,29056.0
14,6,4,12,2002,363,29,52,28688.0
15,6,4,12,2002,363,29,52,28284.0
16,6,4,12,2002,363,29,52,28225.0
17,6,4,12,2002,363,29,52,29835.0
18,6,4,12,2002,363,29,52,33546.0
19,6,4,12,2002,363,29,52,34343.0
20,6,4,12,2002,363,29,52,34238.0
21,6,4,12,2002,363,29,52,33962.0
22,6,4,12,2002,363,29,52,33002.0
23,6,4,12,2002,363,29,52,31501.0
0,0,4,12,2002,364,30,1,29365.0
1,5,4,12,2002,362,28,52,29344.0
2,5,4,12,2002,362,28,52,28123.0
3,5,4,12,2002,362,28,52,27526.0
4,5,4,12,2002,362,28,52,27288.0
5,5,4,12,2002,362,28,52,27451.0
6,5,4,12,2002,362,28,52,28098.0
7,5,4,12,2002,362,28,52,29338.0
8,5,4,12,2002,362,28,52,30492.0
9,5,4,12,2002,362,28,52,31776.0
10,5,4,12,2002,362,28,52,32516.0
11,5,4,12,2002,362,28,52,32552.0
12,5,4,12,2002,362,28,52,32068.0
13,5,4,12,2002,362,28,52,31256.0
14,5,4,12,2002,362,28,52,30505.0
15,5,4,12,2002,362,28,52,29933.0
16,5,4,12,2002,362,28,52,30212.0
17,5,4,12,2002,362,28,52,31638.0
18,5,4,12,2002,362,28,52,34785.0
19,5,4,12,2002,362,28,52,34937.0
20,5,4,12,2002,362,28,52,34543.0
21,5,4,12,2002,362,28,52,33974.0
22,5,4,12,2002,362,28,52,33167.0
23,5,4,12,2002,362,28,52,31433.0
0,6,4,12,2002,363,29,52,28976.0
1,4,4,12,2002,361,27,52,28445.0
2,4,4,12,2002,361,27,52,27266.0
3,4,4,12,2002,361,27,52,26744.0
4,4,4,12,2002,361,27,52,26760.0
5,4,4,12,2002,361,27,52,27166.0
6,4,4,12,2002,361,27,52,28628.0
7,4,4,12,2002,361,27,52,31179.0
8,4,4,12,2002,361,27,52,33078.0
9,4,4,12,2002,361,27,52,34368.0
10,4,4,12,2002,361,27,52,35167.0
11,4,4,12,2002,361,27,52,35421.0
12,4,4,12,2002,361,27,52,34981.0
13,4,4,12,2002,361,27,52,34464.0
14,4,4,12,2002,361,27,52,34050.0
15,4,4,12,2002,361,27,52,33682.0
16,4,4,12,2002,361,27,52,33637.0
17,4,4,12,2002,361,27,52,35105.0
18,4,4,12,2002,361,27,52,38156.0
19,4,4,12,2002,361,27,52,38199.0
20,4,4,12,2002,361,27,52,37492.0
21,4,4,12,2002,361,27,52,36708.0
22,4,4,12,2002,361,27,52,35540.0
23,4,4,12,2002,361,27,52,33742.0
0,5,4,12,2002,362,28,52,31348.0
1,3,4,12,2002,360,26,52,26705.0
2,3,4,12,2002,360,26,52,25977.0
3,3,4,12,2002,360,26,52,25555.0
4,3,4,12,2002,360,26,52,25589.0
5,3,4,12,2002,360,26,52,26047.0
6,3,4,12,2002,360,26,52,27500.0
7,3,4,12,2002,360,26,52,30046.0
8,3,4,12,2002,360,26,52,31748.0
9,3,4,12,2002,360,26,52,33008.0
10,3,4,12,2002,360,26,52,33790.0
11,3,4,12,2002,360,26,52,34223.0
12,3,4,12,2002,360,26,52,34325.0
13,3,4,12,2002,360,26,52,33997.0
14,3,4,12,2002,360,26,52,33594.0
15,3,4,12,2002,360,26,52,33114.0
16,3,4,12,2002,360,26,52,33098.0
17,3,4,12,2002,360,26,52,34612.0
18,3,4,12,2002,360,26,52,37956.0
19,3,4,12,2002,360,26,52,38118.0
20,3,4,12,2002,360,26,52,37594.0
21,3,4,12,2002,360,26,52,36711.0
22,3,4,12,2002,360,26,52,35383.0
23,3,4,12,2002,360,26,52,33296.0
0,4,4,12,2002,361,27,52,30494.0
1,2,4,12,2002,359,25,52,27669.0
2,2,4,12,2002,359,25,52,26162.0
3,2,4,12,2002,359,25,52,25483.0
4,2,4,12,2002,359,25,52,25045.0
5,2,4,12,2002,359,25,52,25030.0
6,2,4,12,2002,359,25,52,25572.0
7,2,4,12,2002,359,25,52,26307.0
8,2,4,12,2002,359,25,52,27516.0
9,2,4,12,2002,359,25,52,28965.0
10,2,4,12,2002,359,25,52,30487.0
11,2,4,12,2002,359,25,52,31537.0
12,2,4,12,2002,359,25,52,31871.0
13,2,4,12,2002,359,25,52,31652.0
14,2,4,12,2002,359,25,52,30963.0
15,2,4,12,2002,359,25,52,30393.0
16,2,4,12,2002,359,25,52,30230.0
17,2,4,12,2002,359,25,52,31038.0
18,2,4,12,2002,359,25,52,32721.0
19,2,4,12,2002,359,25,52,32828.0
20,2,4,12,2002,359,25,52,32670.0
21,2,4,12,2002,359,25,52,32526.0
22,2,4,12,2002,359,25,52,31932.0
23,2,4,12,2002,359,25,52,30698.0
0,3,4,12,2002,360,26,52,28570.0
