split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,params,experiment_name,run_number
0.6387673913849872,0.5899225995053332,0.5537892725714639,0.5941597544872614,0.034821308428671253,217,10.65541124343872,1.1615142624504997,0.06279214223225911,0.004079874151553451,9,10,"OrderedDict([('max_depth', 9), ('min_child_weight', 10)])",BO for 1 group,9.0
0.623605827536127,0.5958449247005708,0.5781437203791815,0.5991981575386265,0.018710672972701268,152,36.308733781178795,4.85935183268679,0.08536338806152344,0.026419789951558543,15,14,"OrderedDict([('max_depth', 15), ('min_child_weight', 14)])",BO for 1 group,9.0
0.6404876631240155,0.5978902670838323,0.5712585481658199,0.6032121594578893,0.02851209676967012,123,27.320799430211384,6.660493360453839,0.06844282150268555,0.0022451026010581977,17,18,"OrderedDict([('max_depth', 17), ('min_child_weight', 18)])",BO for 1 group,9.0
0.6309754888763428,0.5876359778992613,0.5757534362233857,0.5981216343329966,0.023732263804593708,164,115.42348376909892,46.38174703944616,0.0724485715230306,0.0047601262382979655,18,4,"OrderedDict([('max_depth', 18), ('min_child_weight', 4)])",BO for 1 group,9.0
0.657099791356792,0.5921726853560314,0.5684372519231882,0.6059032428786705,0.0374758378346699,113,1.6070210138956706,0.08331246204260907,0.05862243970235189,0.0038617561483133738,6,18,"OrderedDict([('max_depth', 6), ('min_child_weight', 18)])",BO for 1 group,9.0
0.6362643972128701,0.5931324283755786,0.5698986592662834,0.599765161618244,0.027496638049041865,144,10.385954062143961,1.5067958528221161,0.061966260274251304,0.004472703374147585,11,15,"OrderedDict([('max_depth', 11), ('min_child_weight', 15)])",BO for 1 group,9.0
0.6342031545130906,0.5785967501818479,0.5633565919459436,0.5920521655469607,0.030447714844532597,230,15.492141246795654,3.7662393484691923,0.07061656316121419,0.0062250916118239,13,20,"OrderedDict([('max_depth', 13), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6270274910523043,0.5947682999446017,0.5763830861211321,0.599392959039346,0.02093250329854005,150,61.40988556543986,22.037609864134687,0.07384125391642253,0.010614891541419974,19,9,"OrderedDict([('max_depth', 19), ('min_child_weight', 9)])",BO for 1 group,9.0
0.6257306336908786,0.5910602484735097,0.5710910318885045,0.5959606380176309,0.022574054200100294,211,56.26085122426351,18.773907269548182,0.07189448674519856,0.004025543950194843,13,3,"OrderedDict([('max_depth', 13), ('min_child_weight', 3)])",BO for 1 group,9.0
0.6259172151289235,0.5948516025612925,0.5707104487033616,0.5971597554645259,0.022597085979688694,186,25.679721117019653,9.101778562363151,0.07495363553365071,0.003882439988366778,14,8,"OrderedDict([('max_depth', 14), ('min_child_weight', 8)])",BO for 1 group,9.0
0.7157888292536156,0.6928539639646607,0.5780624761443056,0.6622350897875273,0.06025099543910143,45,0.4292286237080892,0.030399189094829325,0.05232834815979004,0.0007711034319470622,2,17,"OrderedDict([('max_depth', 2), ('min_child_weight', 17)])",BO for 1 group,9.0
0.65492222069309,0.6216449884174238,0.5757271802036626,0.6174314631047255,0.032468230176600554,98,0.3596491018931071,0.033451914419662825,0.052061239878336586,0.003795837333303638,1,1,"OrderedDict([('max_depth', 1), ('min_child_weight', 1)])",BO for 1 group,9.0
0.65492222069309,0.6216449884174238,0.5757271802036626,0.6174314631047255,0.032468230176600554,98,0.3470600446065267,0.03485174320821038,0.054105520248413086,0.0027006611947036157,1,20,"OrderedDict([('max_depth', 1), ('min_child_weight', 20)])",BO for 1 group,9.0
0.7097616104380415,0.6799641438745698,0.6079728297384008,0.665899528017004,0.04272859334212906,26,0.5180513858795166,0.052132581740220243,0.053522745768229164,0.00516767784809523,3,17,"OrderedDict([('max_depth', 3), ('min_child_weight', 17)])",BO for 1 group,9.0
0.6854532499092636,0.6377284734406828,0.5860699249829762,0.6364172161109742,0.040583665558034075,72,0.6747719446818033,0.040666182236781784,0.05553420384724935,0.002828325389636289,4,1,"OrderedDict([('max_depth', 4), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6388926574912235,0.5983279915783167,0.5761345762675008,0.6044517417790136,0.025984218635051633,118,36.338198820749916,12.12870432808478,0.07584651311238606,0.008606559001990467,20,20,"OrderedDict([('max_depth', 20), ('min_child_weight', 20)])",BO for 1 group,9.0
0.7135448341295731,0.6799641438745698,0.6115175867728847,0.6683421882590093,0.042455405545452574,1,0.5236574014027914,0.03871252874137067,0.0562284787495931,0.004265216069483913,3,1,"OrderedDict([('max_depth', 3), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6499839726951735,0.5915030248136606,0.5383038689023886,0.5932636221370742,0.045610204801069185,220,2.327126423517863,0.09696797891474333,0.05890742937723795,0.0041225726498651805,7,1,"OrderedDict([('max_depth', 7), ('min_child_weight', 1)])",BO for 1 group,9.0
0.7097616104380415,0.6799641438745698,0.6079728297384008,0.665899528017004,0.04272859334212906,26,0.5117860635121664,0.030657441200233622,0.0529019832611084,0.0016536510869437423,3,20,"OrderedDict([('max_depth', 3), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6741850718059121,0.5978849004204112,0.6027757286883899,0.6249485669715711,0.03487267417824719,85,0.9371065298716227,0.049533019284348175,0.05518221855163574,0.0016390420197705273,5,1,"OrderedDict([('max_depth', 5), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6278893125532259,0.5856983481255622,0.5518600368263196,0.5884825658350359,0.031101196044308832,240,11.770920674006144,0.5807034687375909,0.07368508974711101,0.004330466908903461,10,1,"OrderedDict([('max_depth', 10), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6254045451551334,0.5922417493318837,0.5781078787664709,0.5985847244178294,0.019822859910985043,156,135.16841061909994,17.451930863004602,0.07564862569173177,0.009814650511223178,16,1,"OrderedDict([('max_depth', 16), ('min_child_weight', 1)])",BO for 1 group,9.0
0.7157888292536156,0.6928539639646607,0.5780624761443056,0.6622350897875273,0.06025099543910143,45,0.44583503405253094,0.038617666663694046,0.056111415227254234,0.0019336362580165474,2,1,"OrderedDict([('max_depth', 2), ('min_child_weight', 1)])",BO for 1 group,9.0
0.626553911140824,0.5968243147463417,0.5668775099590722,0.596751911948746,0.024362842556171122,195,29.72448420524597,3.8578757561960404,0.07276002566019694,0.0022566765439166036,12,1,"OrderedDict([('max_depth', 12), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6437820015809814,0.5960232449118816,0.5392697733174303,0.5930250066034312,0.0427195781726119,222,3.6768344243367515,0.44868694871261977,0.06473223368326823,0.003732672991751828,8,20,"OrderedDict([('max_depth', 8), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6812519932723631,0.6177600468573657,0.5694724912129195,0.622828177114216,0.04577429211824462,91,0.39808956782023114,0.10674246847443361,0.06147130330403646,0.004936192882593548,4,20,"OrderedDict([('max_depth', 4), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6304332470236083,0.5858006279851157,0.5745461846680865,0.5969266865589368,0.024134108908673475,191,239.1313906510671,69.60882306046882,0.15710743268330893,0.10020409489131046,20,1,"OrderedDict([('max_depth', 20), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6424685892149602,0.5973846430897954,0.5759720657825133,0.605275099362423,0.027714513433616646,114,17.874424537022907,5.228452850040698,0.08546662330627441,0.012504052959068358,16,20,"OrderedDict([('max_depth', 16), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6368328823532883,0.595429312284129,0.5612926876994324,0.5978516274456166,0.030886684942887474,175,5.321923653284709,1.1554056650493028,0.13852556546529135,0.06120821328358942,10,20,"OrderedDict([('max_depth', 10), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6759221205632806,0.5922930084042359,0.5776556071192704,0.6152902453622623,0.04328765487517327,107,1.5923192501068115,0.28640528907616714,0.08099484443664551,0.026242647717885096,6,1,"OrderedDict([('max_depth', 6), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6370335889557088,0.5841314849551944,0.5812280306669011,0.6007977015259348,0.025650044380318916,133,16.26404031117757,2.795293184016948,0.16499479611714682,0.033069113353923055,18,20,"OrderedDict([('max_depth', 18), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6462091063415698,0.5841982697485185,0.5474527420224727,0.5926200393708537,0.040754545971873474,225,2.12241530418396,0.3479089987051229,0.08790707588195801,0.032103597144519734,8,1,"OrderedDict([('max_depth', 8), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6364511755937728,0.5986727392300557,0.5682989075190172,0.6011409407809486,0.02787773215435826,131,5.262603918711345,0.8786402749917835,0.0865951379140218,0.008068832704759426,12,20,"OrderedDict([('max_depth', 12), ('min_child_weight', 20)])",BO for 1 group,9.0
0.713557376038112,0.6799641438745698,0.6079698478953957,0.6671637892693592,0.044045948230884084,21,0.46245288848876953,0.1404449808133304,0.18134649594624838,0.035606496369177246,3,8,"OrderedDict([('max_depth', 3), ('min_child_weight', 8)])",BO for 1 group,9.0
0.6611782274445039,0.6110974975332184,0.6016326215014245,0.624636115493049,0.02612649267160072,86,0.6363943417867025,0.13186139164860508,0.15378292401631674,0.038151317856760014,5,20,"OrderedDict([('max_depth', 5), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6250646197019636,0.5929776829682184,0.5793468801694888,0.5991297276132236,0.01916444045579217,153,73.48853063583374,12.347653354963184,0.2352147897084554,0.02283700176339317,17,1,"OrderedDict([('max_depth', 17), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6436183665774069,0.5970154763910703,0.5354676985012232,0.5920338471565668,0.04429261957861422,231,1.179782470067342,0.15254988474446832,0.18161511421203613,0.00689784218749001,7,20,"OrderedDict([('max_depth', 7), ('min_child_weight', 20)])",BO for 1 group,9.0
0.6287096715059299,0.5870003182571997,0.5783700663719649,0.5980266853783648,0.021980363057039716,168,36.28044946988424,6.674638102823728,0.17916440963745117,0.034734129529094396,15,1,"OrderedDict([('max_depth', 15), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6321939255489203,0.5860351962547963,0.5600874507426461,0.5927721908487875,0.029820309067999998,223,6.718027909596761,0.698030862827947,0.09211095174153645,0.042896600335278486,11,1,"OrderedDict([('max_depth', 11), ('min_child_weight', 1)])",BO for 1 group,9.0
0.6428178058891661,0.600945117152041,0.5805690758986601,0.6081106663132891,0.025913123026045162,110,11.72332231203715,3.844051946706475,0.17058014869689941,0.07508669571067489,19,20,"OrderedDict([('max_depth', 19), ('min_child_weight', 20)])",BO for 1 group,9.0
